"Absolute path" "Relative path" Class
C:\Users\User\ptm-4\dataset\bad_0000.txt ..\dataset\bad_0000.txt bad
C:\Users\User\ptm-4\dataset\bad_0001.txt ..\dataset\bad_0001.txt bad
C:\Users\User\ptm-4\dataset\bad_0002.txt ..\dataset\bad_0002.txt bad
C:\Users\User\ptm-4\dataset\bad_0003.txt ..\dataset\bad_0003.txt bad
C:\Users\User\ptm-4\dataset\bad_0004.txt ..\dataset\bad_0004.txt bad
C:\Users\User\ptm-4\dataset\bad_0005.txt ..\dataset\bad_0005.txt bad
C:\Users\User\ptm-4\dataset\bad_0006.txt ..\dataset\bad_0006.txt bad
C:\Users\User\ptm-4\dataset\bad_0007.txt ..\dataset\bad_0007.txt bad
C:\Users\User\ptm-4\dataset\bad_0008.txt ..\dataset\bad_0008.txt bad
C:\Users\User\ptm-4\dataset\bad_0009.txt ..\dataset\bad_0009.txt bad
C:\Users\User\ptm-4\dataset\bad_0010.txt ..\dataset\bad_0010.txt bad
C:\Users\User\ptm-4\dataset\bad_0011.txt ..\dataset\bad_0011.txt bad
C:\Users\User\ptm-4\dataset\bad_0012.txt ..\dataset\bad_0012.txt bad
C:\Users\User\ptm-4\dataset\bad_0013.txt ..\dataset\bad_0013.txt bad
C:\Users\User\ptm-4\dataset\bad_0014.txt ..\dataset\bad_0014.txt bad
C:\Users\User\ptm-4\dataset\bad_0015.txt ..\dataset\bad_0015.txt bad
C:\Users\User\ptm-4\dataset\bad_0016.txt ..\dataset\bad_0016.txt bad
C:\Users\User\ptm-4\dataset\bad_0017.txt ..\dataset\bad_0017.txt bad
C:\Users\User\ptm-4\dataset\bad_0018.txt ..\dataset\bad_0018.txt bad
C:\Users\User\ptm-4\dataset\bad_0019.txt ..\dataset\bad_0019.txt bad
C:\Users\User\ptm-4\dataset\bad_0020.txt ..\dataset\bad_0020.txt bad
C:\Users\User\ptm-4\dataset\bad_0021.txt ..\dataset\bad_0021.txt bad
C:\Users\User\ptm-4\dataset\bad_0022.txt ..\dataset\bad_0022.txt bad
C:\Users\User\ptm-4\dataset\bad_0023.txt ..\dataset\bad_0023.txt bad
C:\Users\User\ptm-4\dataset\bad_0024.txt ..\dataset\bad_0024.txt bad
C:\Users\User\ptm-4\dataset\bad_0025.txt ..\dataset\bad_0025.txt bad
C:\Users\User\ptm-4\dataset\bad_0026.txt ..\dataset\bad_0026.txt bad
C:\Users\User\ptm-4\dataset\bad_0027.txt ..\dataset\bad_0027.txt bad
C:\Users\User\ptm-4\dataset\bad_0028.txt ..\dataset\bad_0028.txt bad
C:\Users\User\ptm-4\dataset\bad_0029.txt ..\dataset\bad_0029.txt bad
C:\Users\User\ptm-4\dataset\bad_0030.txt ..\dataset\bad_0030.txt bad
C:\Users\User\ptm-4\dataset\bad_0031.txt ..\dataset\bad_0031.txt bad
C:\Users\User\ptm-4\dataset\bad_0032.txt ..\dataset\bad_0032.txt bad
C:\Users\User\ptm-4\dataset\bad_0033.txt ..\dataset\bad_0033.txt bad
