The Absolute Way;Relative Way;Class
D:\учёба\для себя\ptm-4\dataset\zebra\0000.jpg;dataset/zebra/0000.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0000.jpg;dataset/bay_horse/0000.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0001.jpg;dataset/zebra/0001.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0001.jpg;dataset/bay_horse/0001.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0002.jpg;dataset/zebra/0002.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0002.jpg;dataset/bay_horse/0002.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0003.jpg;dataset/zebra/0003.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0003.jpg;dataset/bay_horse/0003.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0004.jpg;dataset/zebra/0004.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0004.jpg;dataset/bay_horse/0004.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0005.jpg;dataset/zebra/0005.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0005.jpg;dataset/bay_horse/0005.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0006.jpg;dataset/zebra/0006.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0006.jpg;dataset/bay_horse/0006.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0007.jpg;dataset/zebra/0007.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0007.jpg;dataset/bay_horse/0007.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0008.jpg;dataset/zebra/0008.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0008.jpg;dataset/bay_horse/0008.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0009.jpg;dataset/zebra/0009.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0009.jpg;dataset/bay_horse/0009.jpg;bay_horse
D:\учёба\для себя\ptm-4\dataset\zebra\0010.jpg;dataset/zebra/0010.jpg;zebra
D:\учёба\для себя\ptm-4\dataset\bay_horse\0010.jpg;dataset/bay_horse/0010.jpg;bay_horse
