"Absolute path" "Relative path" Class
C:\Users\User\ptm-4\dataset\06032.txt ..\random_number_dataset\06032.txt bad
C:\Users\User\ptm-4\dataset\06050.txt ..\random_number_dataset\06050.txt bad
C:\Users\User\ptm-4\dataset\09160.txt ..\random_number_dataset\09160.txt bad
C:\Users\User\ptm-4\dataset\02432.txt ..\random_number_dataset\02432.txt bad
C:\Users\User\ptm-4\dataset\00275.txt ..\random_number_dataset\00275.txt bad
C:\Users\User\ptm-4\dataset\01391.txt ..\random_number_dataset\01391.txt bad
C:\Users\User\ptm-4\dataset\09640.txt ..\random_number_dataset\09640.txt bad
C:\Users\User\ptm-4\dataset\02954.txt ..\random_number_dataset\02954.txt bad
C:\Users\User\ptm-4\dataset\02391.txt ..\random_number_dataset\02391.txt bad
C:\Users\User\ptm-4\dataset\03878.txt ..\random_number_dataset\03878.txt bad
C:\Users\User\ptm-4\dataset\09661.txt ..\random_number_dataset\09661.txt bad
C:\Users\User\ptm-4\dataset\09916.txt ..\random_number_dataset\09916.txt bad
C:\Users\User\ptm-4\dataset\08621.txt ..\random_number_dataset\08621.txt bad
C:\Users\User\ptm-4\dataset\09302.txt ..\random_number_dataset\09302.txt bad
C:\Users\User\ptm-4\dataset\06130.txt ..\random_number_dataset\06130.txt bad
C:\Users\User\ptm-4\dataset\05894.txt ..\random_number_dataset\05894.txt bad
C:\Users\User\ptm-4\dataset\08759.txt ..\random_number_dataset\08759.txt bad
C:\Users\User\ptm-4\dataset\06583.txt ..\random_number_dataset\06583.txt bad
C:\Users\User\ptm-4\dataset\00734.txt ..\random_number_dataset\00734.txt bad
C:\Users\User\ptm-4\dataset\05580.txt ..\random_number_dataset\05580.txt bad
C:\Users\User\ptm-4\dataset\06589.txt ..\random_number_dataset\06589.txt bad
C:\Users\User\ptm-4\dataset\08285.txt ..\random_number_dataset\08285.txt bad
C:\Users\User\ptm-4\dataset\04731.txt ..\random_number_dataset\04731.txt bad
C:\Users\User\ptm-4\dataset\03680.txt ..\random_number_dataset\03680.txt bad
C:\Users\User\ptm-4\dataset\09203.txt ..\random_number_dataset\09203.txt bad
C:\Users\User\ptm-4\dataset\02476.txt ..\random_number_dataset\02476.txt bad
C:\Users\User\ptm-4\dataset\05368.txt ..\random_number_dataset\05368.txt bad
C:\Users\User\ptm-4\dataset\00177.txt ..\random_number_dataset\00177.txt bad
C:\Users\User\ptm-4\dataset\02969.txt ..\random_number_dataset\02969.txt bad
C:\Users\User\ptm-4\dataset\09545.txt ..\random_number_dataset\09545.txt bad
C:\Users\User\ptm-4\dataset\07841.txt ..\random_number_dataset\07841.txt bad
C:\Users\User\ptm-4\dataset\08655.txt ..\random_number_dataset\08655.txt bad
C:\Users\User\ptm-4\dataset\06404.txt ..\random_number_dataset\06404.txt bad
C:\Users\User\ptm-4\dataset\09188.txt ..\random_number_dataset\09188.txt bad
C:\Users\User\ptm-4\dataset\01365.txt ..\random_number_dataset\01365.txt bad
C:\Users\User\ptm-4\dataset\08205.txt ..\random_number_dataset\08205.txt bad
C:\Users\User\ptm-4\dataset\06330.txt ..\random_number_dataset\06330.txt bad
C:\Users\User\ptm-4\dataset\07833.txt ..\random_number_dataset\07833.txt bad
C:\Users\User\ptm-4\dataset\02965.txt ..\random_number_dataset\02965.txt bad
C:\Users\User\ptm-4\dataset\00789.txt ..\random_number_dataset\00789.txt bad
C:\Users\User\ptm-4\dataset\04188.txt ..\random_number_dataset\04188.txt bad
C:\Users\User\ptm-4\dataset\01309.txt ..\random_number_dataset\01309.txt bad
C:\Users\User\ptm-4\dataset\02497.txt ..\random_number_dataset\02497.txt bad
C:\Users\User\ptm-4\dataset\08093.txt ..\random_number_dataset\08093.txt bad
C:\Users\User\ptm-4\dataset\06182.txt ..\random_number_dataset\06182.txt bad
C:\Users\User\ptm-4\dataset\06328.txt ..\random_number_dataset\06328.txt bad
C:\Users\User\ptm-4\dataset\06942.txt ..\random_number_dataset\06942.txt bad
C:\Users\User\ptm-4\dataset\05337.txt ..\random_number_dataset\05337.txt bad
C:\Users\User\ptm-4\dataset\03552.txt ..\random_number_dataset\03552.txt bad
C:\Users\User\ptm-4\dataset\07602.txt ..\random_number_dataset\07602.txt bad
C:\Users\User\ptm-4\dataset\03431.txt ..\random_number_dataset\03431.txt bad
C:\Users\User\ptm-4\dataset\02781.txt ..\random_number_dataset\02781.txt bad
